similarity_pct,product_a,product_b
93%,OVERLOAD RELAY 7-10A SCHNEIDER,OVERLOAD RELAY 9-13A  -SCHNEIDER
93%,PIGMY LAMP 6V 4W BA9 - TUNGSRAM,PIGMY LAMP 3.8V 4W BA9 - TUNGSRAM
93%,PRE INS. TERMINAL 1.5MM FEMALE,PRE INS. TERMINAL 2.5MM M/FEMALE
93%,PUSH BUTTON RED 1NC - SCHNEIDER,PUSH BUTTON GREEN 1NC - SCHNEIDER
93%,RCCB 4P 100A 300MA - GE,RCCB 4P 100A 300MA - HAGER
93%,RUBBER FLEXIBLE CABLE 3CX4.0MM,RUBBER FLEXIBLE CABLE 2CX1.0MM
93%,RUBBER FLEXIBLE CABLE 3CX4.0MM,RUBBER FLEXIBLE CABLE 3CX2.5MM
93%,RUBBER FLEXIBLE CABLE 7CX2.5MM,RUBBER FLEXIBLE CABLE 4Cx1.5MM
93%,RUBBER FLEXIBLE CABLE 7CX2.5MM,RUBBER FLEXIBLE CABLE 7CX4.0MM
93%,RUBBER FLEXIBLE CABLE 7CX2.5MM,RUBBER FLEXIBLE CABLE 2CX1.5MM
93%,RUBBER FLEXIBLE CABLE 4Cx1.5MM,RUBBER FLEXIBLE CABLE 4CX4.0MM
93%,RUBBER FLEXIBLE CABLE 4Cx1.5MM,RUBBER FLEXIBLE CABLE 3CX1.0MM
93%,RUBBER FLEXIBLE CABLE 4Cx1.5MM,RUBBER FLEXIBLE CABLE 5CX2.5MM
93%,RUBBER FLEXIBLE CABLE 4Cx1.5MM,RUBBER FLEXIBLE CABLE 2CX1.0MM
93%,RUBBER FLEXIBLE CABLE 4Cx1.5MM,RUBBER FLEXIBLE CABLE 2CX2.5MM
93%,RUBBER FLEXIBLE CABLE 4Cx1.5MM,RUBBER FLEXIBLE CABLE 3CX2.5MM
93%,RUBBER FLEXIBLE CABLE 7CX4.0MM,RUBBER FLEXIBLE CABLE 3CX6.0MM
93%,RUBBER FLEXIBLE CABLE 7CX4.0MM,RUBBER FLEXIBLE CABLE 3CX1.0MM
93%,RUBBER FLEXIBLE CABLE 7CX4.0MM,RUBBER FLEXIBLE CABLE 2CX1.0MM
93%,RUBBER FLEXIBLE CABLE 3CX6.0MM,RUBBER FLEXIBLE CABLE 4CX4.0MM
93%,RUBBER FLEXIBLE CABLE 3CX6.0MM,RUBBER FLEXIBLE CABLE 2CX1.0MM
93%,RUBBER FLEXIBLE CABLE 3CX6.0MM,RUBBER FLEXIBLE CABLE 3CX2.5MM
93%,RUBBER FLEXIBLE CABLE 4CX4.0MM,RUBBER FLEXIBLE CABLE 3CX1.0MM
93%,RUBBER FLEXIBLE CABLE 4CX4.0MM,RUBBER FLEXIBLE CABLE 4Cx2.5MM
93%,RUBBER FLEXIBLE CABLE 4CX4.0MM,RUBBER FLEXIBLE CABLE 2CX1.0MM
93%,RUBBER FLEXIBLE CABLE 3CX1.0MM,RUBBER FLEXIBLE CABLE 2CX1.5MM
93%,RUBBER FLEXIBLE CABLE 3CX1.0MM,RUBBER FLEXIBLE CABLE 3CX2.5MM
93%,RUBBER FLEXIBLE CABLE 4Cx2.5MM,RUBBER FLEXIBLE CABLE 2CX1.5MM
93%,RUBBER FLEXIBLE CABLE 5CX2.5MM,RUBBER FLEXIBLE CABLE 2CX1.5MM
93%,RUBBER FLEXIBLE CABLE 2CX1.5MM,RUBBER FLEXIBLE CABLE 3CX2.5MM
93%,RUBBER FLEXIBLE CABLE 2CX1.0MM,RUBBER FLEXIBLE CABLE 2CX2.5MM
93%,"POLY SOCKET 1/2""","POLY SOCKET 1""E"
93%,FIX BOLT (RAWL BOLT) 12MM,FIX BOLT (RAWL BOLT) 8MM
93%,FIX BOLT (RAWL BOLT) 12MM,FIX BOLT (RAWL BOLT) 6MM
93%,FIX BOLT (RAWL BOLT) 16MM,FIX BOLT (RAWL BOLT) 8MM
93%,FIX BOLT (RAWL BOLT) 10MM,FIX BOLT (RAWL BOLT) 8MM
93%,FIX BOLT (RAWL BOLT) 10MM,FIX BOLT (RAWL BOLT) 6MM
93%,WOOD CHISEL 6MM -TOLSEN,WOOD CHISEL 18MM - TOLSEN
93%,"WOOD NAIL 2-1/2""","WOOD NAIL 1-1/2"""
93%,"CHANNEL SCREW 1""","CHANNEL SCREW 2"""
93%,SAND PAPER-80CM,SAND PAPER-60CM
93%,COMBINATION SPANNER M12,COMBINATION SPANNER M9
93%,COMBINATION SPANNER M12,COMBINATION SPANNER M6
93%,COMBINATION SPANNER M12,COMBINATION SPANNER M7
93%,COMBINATION SPANNER M12,COMBINATION SPANNER M8
93%,COMBINATION SPANNER M9,COMBINATION SPANNER M18
93%,COMBINATION SPANNER M9,COMBINATION SPANNER M10
93%,COMBINATION SPANNER M9,COMBINATION SPANNER M14
93%,COMBINATION SPANNER M6,COMBINATION SPANNER M18
93%,COMBINATION SPANNER M6,COMBINATION SPANNER M10
93%,COMBINATION SPANNER M6,COMBINATION SPANNER M14
93%,COMBINATION SPANNER M7,COMBINATION SPANNER M18
93%,COMBINATION SPANNER M7,COMBINATION SPANNER M10
93%,COMBINATION SPANNER M7,COMBINATION SPANNER M14
93%,COMBINATION SPANNER M10,COMBINATION SPANNER M8
93%,COMBINATION SPANNER M8,COMBINATION SPANNER M14
93%,MEASURING TAPE 5MTR -KF,MEASURING TAPE 5MTR - KDS
93%,BOLT AND NUT WASHER M8,BOLT AND NUT WASHER M14
93%,"JUBILEE CLIP 1/2""","JUBILEE CLIP 2"""
93%,"JUBILEE CLIP 1/2""","JUBILEE CLIP 1"""
93%,"JUBILEE CLIP 4""","JUBILEE CLIP 3/4"""
93%,SS SNAP HOOK - M6,SS SNAP HOOK - M5
93%,SS SNAP HOOK - M6,SS SNAP HOOK - M4
93%,SS SNAP HOOK - M5,SS SNAP HOOK - M4
93%,INFRARED MOTION SENSOR SURFACE - PRESTON,INFRARED MOTION SENSOR SURFACE - TERSON
93%,"LED SPOT LIGHT FITTING 4"" 15W - BAISHENG","LED SPOT LIGHT FITTING 2"" 4W - BAISHENG"
93%,LED EXIT LIGHT TRANSPARENT W/ARROW,LED EXIT LIGHT TRANSPARENT W/ DOWN ARROW
93%,LED CANDLE LAMP FILAMENT 4W E12 WW  C35,LED CANDLE LAMP FILAMENT 4W E14 C35
93%,CABLE WITH HOLDER 20 ( BELT) WP 10MTR - MODI,CABLE WITH HOLDER 20 ( BELT) WP 10MTR
93%,PVC SPLIT CONDUIT BLACK 11MM X 200MTR,PVC SPLIT CONDUIT BLACK 7MM X 300MTR
93%,PVC SPLIT CONDUIT BLACK 11MM X 200MTR,PVC SPLIT CONDUIT BLACK 13MM X 50MTR
93%,PVC SPLIT CONDUIT BLACK 11MM X 200MTR,PVC SPLIT CONDUIT BLACK 15MM X 50MTR
93%,PVC SPLIT CONDUIT BLACK 11MM X 200MTR,PVC SPLIT CONDUIT BLACK 19MM X 50MTR
93%,PVC SPLIT CONDUIT BLACK 15MM X 100MTR,PVC SPLIT CONDUIT BLACK 7MM X 300MTR
93%,PVC SPLIT CONDUIT BLACK 15MM X 100MTR,PVC SPLIT CONDUIT BLACK 13MM X 50MTR
93%,PVC SPLIT CONDUIT BLACK 15MM X 100MTR,PVC SPLIT CONDUIT BLACK 11MM X 50MTR
93%,PVC SPLIT CONDUIT BLACK 15MM X 100MTR,PVC SPLIT CONDUIT BLACK 19MM X 50MTR
93%,PVC SPLIT CONDUIT BLACK 15MM X 100MTR,PVC SPLIT CONDUIT BLACK 25MM X 50MTR
93%,PVC SPLIT CONDUIT BLACK 7MM X 300MTR,PVC SPLIT CONDUIT BLACK 13MM X 100MTR
93%,PVC SPLIT CONDUIT BLACK 7MM X 300MTR,PVC SPLIT CONDUIT BLACK 19MM X 100MTR
93%,PVC SPLIT CONDUIT BLACK 7MM X 300MTR,PVC SPLIT CONDUIT BLACK 10MM X 100MTR
93%,PVC SPLIT CONDUIT BLACK 13MM X 100MTR,PVC SPLIT CONDUIT BLACK 15MM X 50MTR
93%,PVC SPLIT CONDUIT BLACK 13MM X 100MTR,PVC SPLIT CONDUIT BLACK 11MM X 50MTR
93%,PVC SPLIT CONDUIT BLACK 13MM X 100MTR,PVC SPLIT CONDUIT BLACK 32MM X 50MTR
93%,PVC SPLIT CONDUIT BLACK 13MM X 100MTR,PVC SPLIT CONDUIT BLACK 19MM X 50MTR
93%,PVC SPLIT CONDUIT BLACK 19MM X 100MTR,PVC SPLIT CONDUIT BLACK 13MM X 50MTR
93%,PVC SPLIT CONDUIT BLACK 19MM X 100MTR,PVC SPLIT CONDUIT BLACK 15MM X 50MTR
93%,PVC SPLIT CONDUIT BLACK 19MM X 100MTR,PVC SPLIT CONDUIT BLACK 11MM X 50MTR
93%,PVC SPLIT CONDUIT BLACK 13MM X 50MTR,PVC SPLIT CONDUIT BLACK 10MM X 100MTR
93%,PVC SPLIT CONDUIT BLACK 15MM X 50MTR,PVC SPLIT CONDUIT BLACK 10MM X 100MTR
93%,PVC SPLIT CONDUIT BLACK 40MM X 50MTR,PVC SPLIT CONDUIT BLACK 10MM X 100MTR
93%,PVC SPLIT CONDUIT BLACK 10MM X 100MTR,PVC SPLIT CONDUIT BLACK 11MM X 50MTR
93%,PVC SPLIT CONDUIT BLACK 10MM X 100MTR,PVC SPLIT CONDUIT BLACK 19MM X 50MTR
93%,"EX FAN METAL W GRILL 8"" 200MM - DETON","EX FAN METAL W GRILL 8"" 200MM (TANK) - DETON"
93%,IND WALL SOCKET 415V 63A 3P+N+E (PCE),IND WALL SOCKET 415V 32A 3P+N+E WP - PCE
93%,PIGMY LAMP 240V 15W E14 (OVEN 300C) - GE,PIGMY LAMP 240V 15W E14 (OVEN 300C) - PRC
93%,AUTO TRANSFORMER 220-110V 500VA SP - VETO,AUTO TRANSFORMER 220-110V 500VA SP
93%,MAGNETIC CONTACTOR 48V 25A - SCHNEIDER,MAGNETIC CONTACTOR 240V 12A - SCHNEIDER
93%,MAGNETIC CONTACTOR 48V 25A - SCHNEIDER,MAGNETIC CONTACTOR 240V 32A - SCHNEIDER
93%,MAGNETIC CONTACTOR 48V 32A - SCHNEIDER,MAGNETIC CONTACTOR 240V 12A - SCHNEIDER
93%,MAGNETIC CONTACTOR 48V 32A - SCHNEIDER,MAGNETIC CONTACTOR 240V 25A - SCHNEIDER
93%,INFRARED MOTION SENSOR SURFACE - PRESTON,INFRARED MOTION SENSOR SURFACE-VETO
93%,LED REFLECTOR LAMP R80 8W E27,LED REFLECTOR LAMP R63 8W E27
93%,LED MODULE 12V  BLUE - SAMSUNG,LED MODULE COB 12V  BLUE - SAMSUNG
93%,LED RICE LIGHT 50MTR RGB - MODI,LED RICE LIGHT 50MTR RED - MODI
93%,LED FLOOD LIGHT 100W  WW - MAX,LED FLOOD LIGHT 100W WW - WELLMAX
93%,"LED DOWN LIGHT 4"" 10W - NAVIGATE","LED DOWN LIGHT 8"" 30W - NAVIGATE"
93%,LAMP HOLDER CONVERTER E14-E12,LAMP HOLDER CONVERTER E12-E14
93%,LAMP HOLDER CONVERTER E14-E12,LAMP HOLDER CONVERTER E40-E27
93%,LAMP HOLDER CONVERTER E27-E40,LAMP HOLDER CONVERTER E12-E14
93%,CABLE FLEXIBLE 3Cx1.5MM LOOSE,CABLE FLEXIBLE 5CX2.5MM LOOSE
93%,CABLE FLEXIBLE 3Cx1.5MM LOOSE,CABLE FLEXIBLE 4CX1.0MM LOOSE
93%,CABLE FLEXIBLE 3Cx1.5MM LOOSE,CABLE FLEXIBLE 3CX6.0MM - LOOSE
93%,CABLE FLEXIBLE 3Cx1.5MM LOOSE,CABLE FLEXIBLE 4CX2.5MM LOOSE
93%,CABLE FLEXIBLE 3Cx1.5MM LOOSE,CABLE FLEXIBLE 3CX4.0MM LOOSE
93%,CABLE SINGLE CORE 95.0MM LOOSE,CABLE SINGLE CORE 25MM LOOSE
93%,CABLE FLEXIBLE 5CX2.5MM LOOSE,CABLE FLEXIBLE 5CX4.0MM - LOOSE
93%,CABLE FLEXIBLE 5CX2.5MM LOOSE,CABLE FLEXIBLE 5CX6.0MM  LOOSE
93%,CABLE PVC SW ARMOURED 2CX6.0MM,CABLE PVC SW ARMOURED 3CX6MM
93%,CABLE PVC SW ARMOURED 2CX16MM,CABLE PVC SW ARMOURED 2CX25MM
93%,CABLE PVC SW ARMOURED 2CX16MM,CABLE PVC SW ARMOURED 5CX10MM
93%,CABLE PVC SW ARMOURED 2CX16MM,CABLE PVC SW ARMOURED 3CX10MM
93%,CABLE PVC SW ARMOURED 2CX16MM,CABLE PVC SW ARMOURED 4CX10MM
93%,CABLE PVC SW ARMOURED 2CX25MM,CABLE PVC SW ARMOURED 4CX95MM
93%,CABLE PVC SW ARMOURED 2CX25MM,CABLE PVC SW ARMOURED 4CX50MM
93%,CABLE PVC SW ARMOURED 2CX25MM,CABLE PVC SW ARMOURED 2CX10MM
93%,CABLE PVC SW ARMOURED 4CX6.0MM,CABLE PVC SW ARMOURED 3CX6MM
93%,CABLE PVC SW ARMOURED 4CX70MM,CABLE PVC SW ARMOURED 4CX95MM
93%,CABLE PVC SW ARMOURED 4CX70MM,CABLE PVC SW ARMOURED 5CX10MM
93%,CABLE PVC SW ARMOURED 4CX70MM,CABLE PVC SW ARMOURED 3CX10MM
93%,CABLE PVC SW ARMOURED 4CX70MM,CABLE PVC SW ARMOURED 2CX10MM
93%,CABLE PVC SW ARMOURED 4CX70MM,CABLE PVC SW ARMOURED 4CX25MM
93%,CABLE PVC SW ARMOURED 4CX70MM,CABLE PVC SW ARMOURED 4CX16MM
93%,CABLE PVC SW ARMOURED 4CX95MM,CABLE PVC SW ARMOURED 4CX10MM
93%,CABLE PVC SW ARMOURED 4CX95MM,CABLE PVC SW ARMOURED 4CX16MM
93%,CABLE FLEXIBLE 3CX1.0MM LOOSE,CABLE FLEXIBLE 4CX6.0MM LOOSE
93%,CABLE FLEXIBLE 3CX1.0MM LOOSE,CABLE FLEXIBLE 3CX2.5MM LOOSE
93%,CABLE FLEXIBLE 3CX1.0MM LOOSE,CABLE FLEXIBLE 4CX4.0MM LOOSE
93%,CABLE FLEXIBLE 3CX1.0MM LOOSE,CABLE FLEXIBLE 5CX4.0MM - LOOSE
93%,CABLE FLEXIBLE 3CX1.0MM LOOSE,CABLE FLEXIBLE 5CX6.0MM  LOOSE
93%,CABLE FLEXIBLE 4CX1.0MM LOOSE,CABLE FLEXIBLE 3CX6.0MM - LOOSE
93%,CABLE FLEXIBLE 4CX1.0MM LOOSE,CABLE FLEXIBLE 5CX4.0MM - LOOSE
93%,CABLE FLEXIBLE 4CX1.0MM LOOSE,CABLE FLEXIBLE 4CX2.5MM LOOSE
93%,CABLE FLEXIBLE 4CX1.0MM LOOSE,CABLE FLEXIBLE 3CX4.0MM LOOSE
93%,CABLE FLEXIBLE 4CX1.0MM LOOSE,CABLE FLEXIBLE 5CX6.0MM  LOOSE
93%,CABLE FLEXIBLE 3CX10MM  - 80YDS,CABLE FLEXIBLE 3CX0.75MM - 80YDS
93%,CABLE FLEXIBLE 3CX10MM  - 80YDS,CABLE FLEXIBLE 3CX0.50MM - 80YDS
93%,CABLE FLEXIBLE 4CX6.0MM LOOSE,CABLE FLEXIBLE 5CX4.0MM - LOOSE
93%,CABLE FLEXIBLE 4CX6.0MM LOOSE,CABLE FLEXIBLE 4CX2.5MM LOOSE
93%,CABLE FLEXIBLE 4CX6.0MM LOOSE,CABLE FLEXIBLE 3CX4.0MM LOOSE
93%,CABLE FLEXIBLE 3CX0.50MM - LOOSE,CABLE FLEXIBLE 3CX10MM LOOSE
93%,CABLE PVC SW ARMOURED 3CX16MM,CABLE PVC SW ARMOURED 5CX10MM
93%,CABLE PVC SW ARMOURED 3CX16MM,CABLE PVC SW ARMOURED 2CX10MM
93%,CABLE PVC SW ARMOURED 3CX16MM,CABLE PVC SW ARMOURED 4CX10MM
93%,CABLE PVC SW ARMOURED 3CX6MM,CABLE PVC SW ARMOURED 3CX1.5MM
93%,CABLE PVC SW ARMOURED 5CX10MM,CABLE PVC SW ARMOURED 4CX50MM
93%,CABLE PVC SW ARMOURED 5CX10MM,CABLE PVC SW ARMOURED 4CX16MM
93%,CABLE PVC SW ARMOURED 3CX10MM,CABLE PVC SW ARMOURED 4CX50MM
93%,CABLE PVC SW ARMOURED 3CX10MM,CABLE PVC SW ARMOURED 4CX16MM
93%,CABLE PVC SW ARMOURED 3CX4MM,CABLE PVC SW ARMOURED 3CX1.5MM
93%,CABLE PVC SW ARMOURED 3CX4MM,CABLE PVC SW ARMOURED 4CX4.0MM
93%,CABLE PVC SW ARMOURED 4CX50MM,CABLE PVC SW ARMOURED 2CX10MM
93%,CABLE PVC SW ARMOURED 4CX50MM,CABLE PVC SW ARMOURED 4CX16MM
93%,CABLE FLEXIBLE 3CX2.5MM LOOSE,CABLE FLEXIBLE 3CX6.0MM - LOOSE
93%,CABLE FLEXIBLE 3CX2.5MM LOOSE,CABLE FLEXIBLE 3CX4.0MM LOOSE
93%,CABLE PVC SW ARMOURED 2CX10MM,CABLE PVC SW ARMOURED 4CX16MM
93%,CABLE FLEXIBLE 2CX2.50MM FIG8,CABLE FLEXIBLE 2CX1.00MM FIG8
93%,CABLE FLEXIBLE 2CX2.50MM FIG8,CABLE FLEXIBLE 2CX0.75MM FIG8
93%,CABLE PVC SW ARMOURED 4CX10MM,CABLE PVC SW ARMOURED 4CX25MM
93%,CABLE FLEXIBLE 4CX4.0MM LOOSE,CABLE FLEXIBLE 3CX6.0MM - LOOSE
93%,CABLE FLEXIBLE 4CX4.0MM LOOSE,CABLE FLEXIBLE 4CX2.5MM LOOSE
93%,CABLE FLEXIBLE 4CX4.0MM LOOSE,CABLE FLEXIBLE 5CX6.0MM  LOOSE
93%,CABLE FLEXIBLE 3CX6.0MM - LOOSE,CABLE FLEXIBLE 5CX4.0MM - LOOSE
93%,CABLE SINGLE CORE 50.0MM LOOSE,CABLE SINGLE CORE 25MM LOOSE
93%,CABLE PVC SW ARMOURED 4CX25MM,CABLE PVC SW ARMOURED 4CX16MM
93%,CABLE PVC SW ARMOURED 4CX25MM,CABLE PVC UN ARMOURED 4CX25MM
93%,CABLE FLEXIBLE 5CX2.5MM - 80YDS,CABLE FLEXIBLE 5CX4.0MM - 80YDS
93%,CABLE FLEXIBLE 5CX2.5MM - 80YDS,CABLE FLEXIBLE 4CX1.5MM 80YDS
93%,CABLE FLEXIBLE 5CX2.5MM - 80YDS,CABLE FLEXIBLE 5CX6.0MM - 80YDS
93%,CABLE FLEXIBLE 5CX4.0MM - 80YDS,CABLE FLEXIBLE 3CX6.0MM - 80YDS
93%,CABLE FLEXIBLE 3CX4.0MM LOOSE,CABLE FLEXIBLE 5CX6.0MM  LOOSE
93%,CABLE FLEXIBLE 2CX1.50MM FIG8,CABLE FLEXIBLE 2CX0.75MM FIG8
93%,CABLE FLEXIBLE 4CX4.0MM 80YDS,CABLE FLEXIBLE 3CX6.0MM - 80YDS
93%,CABLE FLEXIBLE 4CX4.0MM 80YDS,CABLE FLEXIBLE 4CX1.5MM 80YDS
93%,CABLE FLEXIBLE 4CX4.0MM 80YDS,CABLE FLEXIBLE 5CX6.0MM - 80YDS
93%,CABLE SINGLE CORE 4.0MM LOOSE,CABLE SINGLE CORE 1.5MM LOOSE
93%,CABLE SINGLE CORE 4.0MM LOOSE,CABLE SINGLE CORE 2.5MM LOOSE
93%,CABLE FLEXIBLE 2CX0.50MM FIG8,CABLE FLEXIBLE 2CX1.00MM FIG8
93%,CABLE SINGLE CORE 35.0MM LOOSE,CABLE SINGLE CORE 25MM LOOSE
93%,CABLE SINGLE CORE 6.0MM LOOSE,CABLE SINGLE CORE 1.5MM LOOSE
93%,CABLE SINGLE CORE 6.0MM LOOSE,CABLE SINGLE CORE 2.5MM LOOSE
93%,PVC FLOOR TRUNKING 16X65X2MTR,PVC FLOOR TRUNKING 15X50X2MTR
93%,PVC FLOOR TRUNKING 16X65X2MTR,PVC FLOOR TRUNKING 10X35X2MTR
93%,PVC CONDUIT PIPE 25MM (BLACK)  DD,PVC CONDUIT PIPE 20MM (BLK) - DD
93%,PVC JUNCTION BOX 20MM 3W - DD,PVC JUNCTION BOX 20MM 3W BLK - DD
93%,PVC BOX SURFACE 3X3 TE - BARAKA,PVC BOX SURFACE 3X6 PE - BARAKA
93%,PVC BOX SURFACE 3X3 PE - BARAKA,PVC BOX SURFACE 3X6 TE - BARAKA
93%,PVC ST TRUNKING 25X16MM - IMAGE,PVC ST TRUNKING 16X16MM - IMAGE
93%,SWITCH 16X 3G 2W - GALION WHITE,SWITCH 16X 4G 1W - GALION WHITE
93%,SWITCH 16X 3G 2W - GALION WHITE,SWITCH 16X 1G 1W - GALION WHITE
93%,SWITCH 16X 3G 2W - GALION WHITE,SWITCH 16X 2G 1W - GALION WHITE
93%,SWITCH 16X 4G 2W - GALION WHITE,SWITCH 16X 3G 1W - GALION WHITE
93%,SWITCH 16X 4G 2W - GALION WHITE,SWITCH 16X 1G 1W - GALION WHITE
93%,SWITCH 16X 4G 2W - GALION WHITE,SWITCH 16X 2G 1W - GALION WHITE
93%,SWITCH 16X 1G 2W - GALION WHITE,SWITCH 16X 3G 1W - GALION WHITE
93%,SWITCH 16X 1G 2W - GALION WHITE,SWITCH 16X 4G 1W - GALION WHITE
93%,SWITCH 16X 1G 2W - GALION WHITE,SWITCH 16X 2G 1W - GALION WHITE
93%,SWITCH 16X 2G 2W - GALION WHITE,SWITCH 16X 3G 1W - GALION WHITE
93%,SWITCH 16X 2G 2W - GALION WHITE,SWITCH 16X 4G 1W - GALION WHITE
93%,SWITCH 16X 2G 2W - GALION WHITE,SWITCH 16X 1G 1W - GALION WHITE
93%,BRASS WOOD SCREWS 8X32  PLATED,BRASS WOOD SCREWS 8X50 PLATED
93%,BRASS WOOD SCREWS 8X32  PLATED,BRASS WOOD SCREWS 8X40  PLATED
93%,CEILING MOUNT EX FAN 250MM - MX,CEILING MOUNT EX FAN 250MM - RR
93%,CEILING MOUNT EX FAN 150MM - RR,CEILING MOUNT EX FAN 200MM - RR
93%,DISTRIBUTION BOARD 2+2 TPN - LS,DISTRIBUTION BOARD 8+4 TPN - LS
93%,DISTRIBUTION BOARD 2+2 TPN - LS,DISTRIBUTION BOARD 4+4 TPN - LS
93%,DISTRIBUTION BOARD 2+2 TPN - LS,DISTRIBUTION BOARD 6+4 TPN - LS
93%,DISTRIBUTION BOARD 8+4 TPN - LS,DISTRIBUTION BOARD 8+4 TPN - GE
93%,DISTRIBUTION BOARD 8+4 TPN - LS,DISTRIBUTION BOARD 4+2 TPN - LS
93%,DISTRIBUTION BOARD 8+4 TPN - LS,DISTRIBUTION BOARD 6+2 TPN - LS
93%,DISTRIBUTION BOARD 8+6 TPN - HY,DISTRIBUTION BOARD 8+6 TPN - GE
93%,DISTRIBUTION BOARD 4+4 TPN - LS,DISTRIBUTION BOARD 6+2 TPN - LS
93%,DISTRIBUTION BOARD 8+6 TPN - GE,DISTRIBUTION BOARD 6+4 TPN - GE
93%,DISTRIBUTION BOARD 6+4 TPN - GE,DISTRIBUTION BOARD 6+4 TPN - LS
93%,DISTRIBUTION BOARD 6+4 TPN - LS,DISTRIBUTION BOARD 4+2 TPN - LS
93%,E SAVING LAMP 11W B22 - PHILIPS,E SAVING LAMP 23W B22 - PHILIPS
93%,E SAVING LAMP 23W B22 - PHILIPS,E SAVING LAMP 14W B22 - PHILIPS
93%,E SAVING LAMP 23W B22 - PHILIPS,E SAVING LAMP 18W B22 - PHILIPS
93%,EX FAN PVC SQUARE 15CM - INDIGO,EX FAN PVC SQUARE 20CM - INDIGO
93%,"FLOOR FAN METAL 20"" 240V - DETON","FLOOR FAN METAL 16"" 240V - DETON"
93%,FLY KILLER TUBE T8 30W BL - NEC,FLY KILLER TUBE T9 20W BL - NEC
93%,GI TRUNKING 150x150MM - 2.44MTR,GI TRUNKING 100x100MM - 2.44MTR
93%,IND MALE PLUG 220V 63A 2P+E,IND MALE PLUG 220V 63A 2P+E (PCE)
93%,IND WALL SOCKET 220V 32A 2P+E,IND WALL SOCKET 220V 16A 2P+E
93%,IND MALE PLUG 220V 32A 2P+E,IND MALE PLUG 220V 32A 2P+E - (PCE)
93%,IND MALE PLUG 220V 16A 2P+E -  (PCE),IND MALE PLUG 220V 16A 2P+E
93%,ISOLATOR FOR DB 3P 100A - XETEX,ISOLATOR FOR DB 3P 125A - XETEX
93%,OVERLOAD RELAY 7-10A SCHNEIDER,OVERLOAD RELAY 21A SCHNEIDER
93%,OVERLOAD RELAY 21A SCHNEIDER,OVERLOAD RELAY 9-13A  -SCHNEIDER
93%,PRE INS. BUD TERMINAL 4/6MM MALE,PRE INS. TERMINAL 4/6MM MALE
93%,PRE INS. TERMINAL 1.5MM MALE,PRE INS. BUD TERMINAL 1.5MM MALE
93%,PRE INS. TERMINAL 2.5MM MALE,PRE INS. TERMINAL 2.5MM M/FEMALE
93%,PRE INS. TERMINAL 2.5MM MALE,PRE INS. BUD TERMINAL 2.5MM MALE
93%,PRE INS. TERMINAL 1.5MM FEMALE,PRE INS. TERMINAL 4/6MM FEMALE
93%,PRE INS. TERMINAL 2.5MM FEMALE,PRE INS. TERMINAL 4/6MM FEMALE
93%,RUBBER FLEXIBLE CABLE 3CX4.0MM,RUBBER FLEXIBLE CABLE 2CX4MM
93%,RUBBER FLEXIBLE CABLE 4CX35MM,RUBBER FLEXIBLE CABLE 5CX50MM
93%,RUBBER FLEXIBLE CABLE 7CX4.0MM,RUBBER FLEXIBLE CABLE 2CX4MM
93%,RUBBER FLEXIBLE CABLE 4CX4.0MM,RUBBER FLEXIBLE CABLE 2CX4MM
93%,RUBBER FLEXIBLE CABLE 2CX4MM,RUBBER FLEXIBLE CABLE 2CX1.5MM
93%,RUBBER FLEXIBLE CABLE 2CX4MM,RUBBER FLEXIBLE CABLE 2CX1.0MM
93%,RUBBER FLEXIBLE CABLE 2CX4MM,RUBBER FLEXIBLE CABLE 2CX2.5MM
93%,WP ISOLATOR 20A TPN - SCHNEIDER,WP ISOLATOR 63A TPN - SCHNEIDER
93%,WP ISOLATOR 20A TPN - SCHNEIDER,WP ISOLATOR 35A TPN - SCHNEIDER
93%,WP ISOLATOR 20A TPN - SCHNEIDER,WP ISOLATOR 55A TPN - SCHNEIDER
93%,WP ISOLATOR 35A SPN- SCHNEIDER,WP ISOLATOR 63A TPN - SCHNEIDER
93%,WP ISOLATOR 35A SPN- SCHNEIDER,WP ISOLATOR 20A SPN - SCHNEIDER
93%,WP ISOLATOR 35A SPN- SCHNEIDER,WP ISOLATOR 55A TPN - SCHNEIDER
93%,WP ISOLATOR 63A TPN - SCHNEIDER,WP ISOLATOR 55A TPN - SCHNEIDER
93%,"COP BALL VALVE 1-1/4"" PEGLER UK","COP BALL VALVE 3/4"" PEGLER UK"
93%,WOOD DRILL BIT FLAT 16MM /18MM,WOOD DRILL BIT FLAT 10MM /12MM
93%,DOOR CYLINDER KALE KILIT 55MM,DOOR CYLINDER KALE KILIT 60MM
93%,SEALED ACID BATTERY 12V 4.5AH,SEALED ACID BATTERY 12V 3.2AH
93%,SEALED ACID BATTERY 12V 4.5AH,SEALED ACID BATTERY 12V 1.3AH
93%,SEALED ACID BATTERY 12V 3.2AH,SEALED ACID BATTERY 12V 1.3AH
93%,EARTH BAR 25X3MM 12WAY,EARTH BAR 25X3MM 6WAY
93%,EARTH BAR 25X3MM 12WAY,EARTH BAR 25X3MM 9WAY
93%,LED BULB 15W E27 - MODI,LED BULB 4.5W E27 -MODI
93%,PVC SPRING CLIP 20MM - DD,PVC SPRING CLIP 20MM
93%,PVC TRUNKING 100X50 - DD,PVC TRUNKING 50X50 - DD
93%,GLS LAMP 200W 240V B22,GLS LAMP 40W 240V B22
